Hindi,English
मेरे अति प्यारों प्रभु यीशु मसीह के नाम,The Name of my Loving - Kindness - The Name of the Lord Jesus Christ
से मैं आपका अभिवादन करता हूं हमेशा आपका,I greet you always
जीवन में आनंदित और खुश रहना क्योंकि,Happy and Happy in Life
परमेश्वर ने वादा किया है पूरे सहायता,God Has Promises the Complete Help
करने के लिए लेकिन हमें उनकी वचन को ऊपर,But we have their word up
विश्वास करना प्रभु का वचन कहता है,Faith Says the Word of the Lord
व्यवस्था  की  में अनाती परमेश्वर,The God of Unfaithfulness in the Law
तेरा गृह धाम है और नीचे सनातन बुझाए हैं,"Your house is a dwelling place, and beneath it there is everlasting light"
वचन कहता अनाती परमेश्वर इसका मतलब अनंत,"This means everlasting God's Word, a Analya"
काल का पिता है कुछ लोग कहते हैं यीशु,Today's Father is some say Jesus
मसीह आके सिर्फ  साल रे उसके पहले,Just year before Christ arrived
लेकिन ऐसा नहीं है वोह उनकी भूल है और यह,But it's not their fault and it's their fault.
अंधविश्वास से कहते हैं वही यीशु मसीह,He - Jesus Christ - Speaks With Superstition
सृष्टि करता है सारे भू मंडल को उन्होंने,Jehovah's Witnesses believe that God's Kingdom is the only hope for mankind and that he will soon bring an end to the present wicked system of things.
अपने वचन के द्वारा सृष्टि की है वो मानव,"By means of his Word, he created the human race"
के रूप में अवतार हुआ है  साल के पहले,As an avatar of years before
लेकिन वही अनंत काल का परमेश्वर है वह,But he is the God of eternity
सर्वशक्तिमान परमेश्वर है आपके लिए गृह धम,God Almighty Is Righteous for You
की आवश्यकता है एक सहारा की आवश्यकता है,Required support is needed
ना बहुत ही कठिनाई परेशानी विपत्ति में,Neither in a very difficult situation can be a disaster
क्या करेंगे सोच रहेने परमेश्वर आपके लिए,What God Will Think About You
गृह धाम के रूप में ठहरेगा एक बत नेदर,A duck will be like a home house
जैंड में मैं गया हुथा उन दिनों में उसको,I went to him in those days
आलंद कहते हैं इन दिन में उसको नेदर जैंड,Andandandanda says on these days
कहते हैं वहां प्रचार करने के लिए सेवा,They say there service for the preaching work
करने के लिए उस स्थान में गए हुए थे एक,They went to that place to
परिवार से मैंने मिला जो श्रीलंका देश से,From the Family That Meets Sri Lanka
यहां पर आए हैं रिफ्यूजी के रूप में यहां,Here's here as refji here.
पर आए जब श्रीलंका का देश में युद्ध हो,When there came to be war in Sri Lanka
रहा था युद्ध से डर के मारे वहां अपना,There was fear of war
जीवन की बचाव के लिए इधर उधर से तड़प रहते,It was not easy for them to accept the offer of a sacrifice to God.
इधरउधर वे जाने के लिए कोशिश किए कहीं,Trying to move away somewhere
नाव में कहीं जहाज में वे यहां पर एक,They're on a ship somewhere in the boat.
परिवार यहां पर आए उस नीदरलैंड की सरकार,The Netherlands Government of that family came here
ने इनको खुशी से ग्रहण किया और वहां का,They gladly accepted them and from them
नागरिक होने के सारे अधिकार दिया है सारे,All Rights of a Citizen All
जरूरतों को वह पूरा किया है उनकी पढ़ाई,Needs him to complete his education
उनकी दवाई उनका रेशन जो कुछ जरूरत हैं,Their medicine is what they need.
सरकार दे रहा और उन्होंने कहा था यहां तक,The government was giving the government until he said
जो दांत सा करने के लिए भी एक स्थान,A place to make hairy teeth
डॉक्टर ने हम लोगों को मुफत में अपनी सेवा,The doctor used our service to corrupt the people
को करते हैं सारी बातों को सरकार ने अपने,Let's do everything the government has to do
प्रजा को जितना सुविधाएं देते हैं उतनी,The amount of provisions that people receive
सुविधाएं इनको भी दिया है दुनिया की एक,"Thanks to these provisions, one of the world's"
सरकार मनुष के द्वारा यह सरकार चलाया जाता,The government will execute this government by means of government.
है यदि वह अपनी खोज में जो आए सरणागति में,If he's in his search in the presence of your enemy.
जो आए उन सबके लिए ऐसे कर सकता है तो,For every one who comes [in Hell] -
हमारा प्रभु यीशु मसीह हमारे पापों के लिए,Our Lord Jesus Christ for Our Sins
मरा है हमारे पापों को धोने के लिए प्राण,The Soul to Wash Our Sins
को दिया सारी बातों को परमेश्वर हमारे लिए,God has given all things to us
दे सकता है सारे जरूरतों को परमेश्वर,May God provide all the needs
हमारे लिए व पूरा कर सकता है हमें कभी भी,Even us can make and complete for us
चिंता नहीं करना परमेश्वर का वचन कहता,God's Word says not to worry
अनाती परमेश्वर युगनी युग से रहने वाला,An Apocrypha from the Age of Eden
परमेश्वर यदि हमारा शरण स्थान है तो हमारे,"If God is our refuge, then our place is with us;"
लिए कुछ भी घटी नहीं होगा वो आपकी परिवार,Nothing will be lacking for your family
की बातों को बच्चों की सारी बातों को,Let's talk to your children all the things they say
भविष्य को सारी बातों को परमेश्वर,God Has Done All Things to the Future
संभालेगा यदि आप विश्वास से इससे कहने से,You'll handle it by word of faith.
परमेश्वर का मन आनंदित होगा प्रभु से हम,God's heart will rejoice in our Lord
कहेंगे हे प्रभु तू अनाती परमेश्वर है,"&lt; &lt; For the Chief Musician. A Psalm by David. &gt; &gt; Yahweh, you are a God of murmurings."
सहारा के रूप में मुझे मेरे परिवार के लिए,As support for my family
रहता है तू ही हमारे लिए सब कुछ है मैं,You are the one who has everything for us
इसको यीशु के नाम से विश्वास करता हूं,That I believe it in Jesus ' name
आमीन,Amen
आमीन,Amen
